Title,Power,Type,Time,LocationLat,LocationLon
ACWA Kom Ombo solar farm,200,Solar,2024,24.4667,32.9501
Ain Sokhna Solar,100,Solar,2025,29.6326,32.3301
Zinder solar farm,100,Solar,2026,13.8086,8.9827
Benguébougou solar farm,"22,2",Solar,2024,9.525,-5.845
Kisumu Solar One solar farm,40,Solar,2024,0.4382,32.6104
Abyodos Kom Ombo solar farm,560,Solar,2024,24.4693,32.8401
Sannaspos Solar PV Project,75,Solar,2024,-29.1909,26.595
Dekemhare solar farm,30,Solar,2025,15.0501,39.0201
Grootspruit Solar PV Project,75,Solar,2025,-27.7375,26.775
Noor Atlas Bouanane solar farm,30,Solar,2024,32.0392,-3.0493
Redstone Concentrated Solar Project,100,Solar,2024,-28.2919,23.3407
Pilanesberg Platinum Mine solar farm,35,Solar,2026,-25.1055,26.9885
Jerada-Marco Photovoltaique solar farm,10,Solar,2024,34.3058,-2.1772
Grootfontein PV solar farm,75,Solar,2025,-32.9583,19.9319
Quilemba solar farm,35,Solar,2024,-14.9176,13.4968
Sedibelo Platinum Mines Hybrid solar farm,35,Solar,2026,-33.1294,21.5321
Soma solar farm (The Gambia),70,Solar,2026,13.3978,-15.7263
Harmony Free State Solar Plant,137,Solar,2025,-27.2998,27.1195
Doornhoek solar farm,120,Solar,2025,-26.434,26.2843
Sola Group Tronox I solar farm,100,Solar,2024,-26.094,26.1684
Chimuara Solar Project,30,Solar,2024,-17.7835,35.4036
Siaya County solar farm,40,Solar,2024,-0.0604,34.2001
Kalulushi Concentrating Solar Power Plant,150,Solar,2026,-12.7176,28.1809
Coega Green Ammonia Plant solar farm,1350,Solar,2025,-33.6816,25.7272
Selebi-Phikwe solar farm,50,Solar,2024,-21.9785,27.8374
ReNew Green Hydrogen solar farm,284,Solar,2026,29.7135,32.3048
OCP-Khouribga I solar farm,30,Solar,2024,32.8744,-6.9199
Walkers Ferry solar farm,30,Solar,2025,-15.5283,34.8324
Centrales d’Energie Renouvelable de N’Djamena solar farm,100,Solar,2024,12.1192,15.0503
Wolenchiti solar farm,150,Solar,2025,8.6605,39.4205
Morocco-UK Solar Power,7000,Solar,2030,28.5274,-10.0316
Mhondoro-Ngezi solar farm,35,Solar,2024,-16.3709,28.8568
Swakopmund Green Hydrogen solar farm,85,Solar,2024,-24.2513,15.2314
Sabodala-Massawa Mine solar farm,37,Solar,2025,13.1902,-12.1146
Khoumagueli solar farm,40,Solar,2024,10.2803,-12.4399
Noor Midelt solar farm,400,Solar,2024,32.8838,-4.7101
Sable solar farm,50,Solar,2025,-18.798,29.7986
Ouagadougou solar farm,150,Solar,2031,12.4143,-1.5152
Poro solar farm,66,Solar,2024,9.451,-5.651
Du Plessis Dam PV solar farm,75,Solar,2024,-30.6315,24.0398
Chidome Ward solar farm,"107,7",Solar,2025,-18.9721,27.4051
Rustenberg Platinum Mine solar farm,80,Solar,2025,-25.6789,27.3085
Globeleq Green Hydrogen solar farm,1500,Solar,2026,29.7135,32.3048
Boa Sorte Solar Plant,44,Solar,2025,-17.1901,-46.5901
Verona Town Solar,250,Solar,2024,43.1393,-75.5708
Monarch solar farm (United States),74,Solar,2024,27.0307,-80.5248
Georges Lake solar farm,74,Solar,2025,30.39,-83.344
Middlebrook Creek Solar,609,Solar,2024,31.5552,-94.7919
Chalhuanca solar farm,"106,5",Solar,2025,-15.6493,-71.6549
Coquimbo (Mytilineos) solar farm,86,Solar,2024,-29.9619,-71.2798
Aratina Solar Center,200,Solar,2025,34.988,-117.5716
Cassville Solar,50,Solar,2024,42.7538,-90.9274
Morada Do Sol Solar Complex,63,Solar,2025,-16.3024,-47.7027
Cottontail Solar,20,Solar,2024,40.9899,-76.4942
El Gabán PV solar farm,120,Solar,2026,4.0999,-72.9088
Mata De Palma Washington Solar Park,73,Solar,2025,18.6478,-69.5895
Rugged Solar,80,Solar,2024,32.6861,-116.2806
Mitchell Creek solar farm,74,Solar,2025,30.9285,-87.2641
Parina solar farm,248,Solar,2025,-23.6231,-70.376
Leyda solar farm,96,Solar,2024,-33.0562,-71.6072
Elizabeth Solar Plant,125,Solar,2024,30.8198,-92.9718
Oak Hill - Dry Creek solar farm,391,Solar,2024,32.2123,-94.7363
Milagres Solar Park,42,Solar,2024,-7.3859,-38.9882
Honeysuckle solar farm,150,Solar,2024,41.719,-86.464
Hecate Energy Columbia County solar farm,60,Solar,2025,42.175,-73.5904
Jacaranda solar farm,187,Solar,2024,-9.525,-40.473
Morada Do Sol Solar Complex,63,Solar,2025,-16.3089,-47.7072
Este Cabreto solar farm,50,Solar,2024,18.4996,-69.8308
Duane Arnold Solar,50,Solar,2024,41.7172,-95.1511
Goldenrod Creek Solar,660,Solar,2024,29.0647,-96.5896
Redlands solar farm,74,Solar,2025,25.5429,-80.5467
Frank solar farm,100,Solar,2025,2.6891,-75.3299
Copper Rays Solar Project,700,Solar,2028,36.1477,-116.069
Union Ridge Solar,108,Solar,2024,39.9841,-82.6413
Ligustro Solar Plant,100,Solar,2024,8.2705,-75.0095
Eloy Valley Solar Project,250,Solar,2025,32.7283,-111.5943
Marangatu PV Solar Complex,30,Solar,2024,-4.1177,-41.4917
Jaíba PV Solar Plant,40,Solar,2024,-15.3083,-43.6407
Jackson Solar,125,Solar,2025,42.2514,-84.2112
Monte Verde Solar Project,37,Solar,2024,-5.4204,-36.2029
Mowata Solar,150,Solar,2025,30.3918,-92.4044
Monte Verde Solar Project,46,Solar,2024,-5.4361,-36.2126
Lizama PV Solar Project,40,Solar,2025,4.0999,-72.9088
Trade Post solar farm,200,Solar,2025,39.2534,-87.4912
Jamaica Public Service Solar Plant,25,Solar,2024,18.1851,-77.3948
Delilah Solar Energy,310,Solar,2024,33.4816,-95.2693
Beautyberry solar farm,74,Solar,2024,26.3604,-81.0265
San Alejo Solar Park,20,Solar,2025,4.2864,-74.8122
Copperton Solar Park,25,Solar,2025,40.5766,-112.0846
Chirigues solar farm,100,Solar,2024,-35.9644,-72.339
Presidente JK solar farm,30,Solar,2024,-18.6901,-44.0701
Milagres Solar Park,42,Solar,2024,-7.3906,-38.9811
Pauna solar farm,671,Solar,2024,-22.3434,-69.664
Highland (Flordia) solar farm,75,Solar,2024,27.2821,-81.4256
Bear Branch Solar,35,Solar,2024,36.3404,-80.1297
Codazzi PV Solar Project,20,Solar,2025,9.8169,-73.5021
Grant County solar farm,200,Solar,2024,42.719,-90.701
Dourado PV Solar Complex,40,Solar,2024,-8.7488,-38.3131
Jvr Energy Park solar farm,90,Solar,2026,32.624,-116.175
Santa Luiza solar farm,50,Solar,2024,-6.846,-36.9301
Accalia Point Solar,221,Solar,2025,25.9924,-97.3983
Newton Jasper Solar,52,Solar,2025,38.9361,-88.2781
Flag City Solar,167,Solar,2024,28.9928,-96.3709
Highlands (Dominion) Solar Project,51,Solar,2027,37.1226,-82.3597
Jaíba PV Solar Plant,40,Solar,2024,-15.3407,-43.626
Clear Fork Creek Solar,600,Solar,2025,29.2837,-96.821
GEB Solar,60,Solar,2026,34.4124,-80.0419
Graviola Solar Plant,75,Solar,2025,-8.2938,-42.3565
Black Rock Solar,100,Solar,2024,46.5201,-120.0152
Pampa Yolanda Hybrid solar farm,388,Solar,2025,-25.2602,-69.7004
Jaíba PV Solar Plant,40,Solar,2024,-15.3418,-43.6134
Hunters Cove Solar,50,Solar,2024,35.3977,-81.914
Ridgely Solar,254,Solar,2024,36.3063,-89.462
Laurel Branch Solar,80,Solar,2025,36.9209,-78.1727
Rutland Center Solar,110,Solar,2025,44.286,-76.0261
Novo Oriente solar farm,48,Solar,2024,-20.6701,-51.3401
Tehuacana Creek Solar,700,Solar,2024,31.9141,-96.4135
Dinosolar,240,Solar,2026,42.9237,-106.384
Fox Coulee Solar Park,93,Solar,2024,51.6114,-112.1764
Cattlemen solar farm,240,Solar,2024,31.0457,-96.8586
Rough Hat solar farm,400,Solar,2026,36.089,-115.9036
Jaíba PV Solar Plant,20,Solar,2024,-15.3321,-43.6081
Horseshoe (Invenergy) solar farm,180,Solar,2025,42.5708,-77.453
Centauro PV solar farm,100,Solar,2024,4.7504,-75.9141
Orion Milam Solar,315,Solar,2024,30.8246,-96.9755
Efigen C04 solar farm,99,Solar,2025,8.5032,-75.51
Marangatu PV Solar Complex,30,Solar,2024,-4.1204,-41.435
Bellefield Solar And Energy Storage Farm,500,Solar,2025,35.0178,-118.0687
Quest Solar,40,Solar,2026,32.9765,-81.2268
Pineside Solar,75,Solar,2027,37.7005,-78.5049
Cramer Creek Solar,395,Solar,2027,38.5808,-103.9826
Pecan Prairie North Solar,360,Solar,2025,31.1372,-96.2693
Ruphay solar farm,"93,2",Solar,2024,-16.4355,-71.8384
Box Canyon solar farm,300,Solar,2025,33.0972,-111.2783
Pineapple solar farm,74,Solar,2024,27.2551,-80.5712
Hendry Isles solar farm,74,Solar,2025,26.7491,-81.1921
Risen Energy solar farm,117,Solar,2024,24.5227,-104.772
Monte Verde Solar Project,40,Solar,2024,-5.4168,-36.2187
San Mateo solar farm,80,Solar,2025,4.7938,-75.9927
Woodyard solar farm,74,Solar,2024,26.4093,-81.0485
Escobal solar farm,99,Solar,2024,4.567,-74.9542
Babbitt Ranch Solar,60,Solar,2025,32.0838,-110.867
Posey solar farm,190,Solar,2024,38.1301,-87.9335
Presidente JK solar farm,30,Solar,2024,-18.6901,-44.0801
Wayra solar farm,33,Solar,2024,-25.4067,-70.4798
Boa Sorte Solar Plant,44,Solar,2025,-17.2001,-46.6401
Tabletop Solar Project,80,Solar,2024,42.9595,-74.5668
Madison Solar,63,Solar,2024,38.2878,-77.8401
Stonecrop Solar,100,Solar,2024,36.9707,-88.1984
Mt. Olive Creek Solar Project,60,Solar,2024,37.0133,-85.5058
Naduah Solar,182,Solar,2025,31.5215,-96.6739
Novo Oriente solar farm,48,Solar,2024,-20.6701,-51.3301
Broadview Solar,80,Solar,2024,45.7776,-108.554
Bas Saint Laurent solar farm,40,Solar,2026,48.1325,-68.2616
Moon Corner solar farm,60,Solar,2026,37.89,-76.54
Flat Run Solar Project,55,Solar,2024,37.3741,-85.353
Riverstart Solar Park,100,Solar,2024,40.0556,-85.1266
Tocopilla solar farm,"227,5",Solar,2025,-23.6217,-70.3776
Boa Sorte Solar Plant,44,Solar,2025,-17.2001,-46.5901
Cuestecitas Solar Park,200,Solar,2024,11.4354,-72.9002
Petersburg Solar,250,Solar,2024,38.52,-87.34
La Mata solar farm (Colombia),80,Solar,2025,8.6171,-73.8017
La Virginia solar farm,80,Solar,2025,4.9501,-75.958
Lunis Creek Solar,617,Solar,2024,28.9161,-96.3842
Watkins Road Solar Project,20,Solar,2024,43.0613,-75.0558
Dog Corners Solar Project,20,Solar,2024,42.7443,-76.6653
Aratina Solar Center,200,Solar,2025,35.063,-118.0878
Wayra solar farm,33,Solar,2024,-25.4067,-70.4798
Los Pinos solar farm,180,Solar,2026,5.9762,-74.5778
Eleven Mile Solar Center,300,Solar,2024,32.861,-111.5919
Westland solar farm,246,Solar,2024,36.1457,-119.9051
Mountain Daisy solar farm,162,Solar,2025,40.596,-108.846
Three Corners Solar,109,Solar,2024,44.3327,-69.781
Ingenio Magdalena Sugar solar farm,65,Solar,2025,14.6018,-90.4853
Jaíba PV Solar Plant,40,Solar,2024,-15.3032,-43.6096
Alina solar farm,245,Solar,2026,29.0645,-98.2233
Las Palmeras solar farm,200,Solar,2025,10.1502,-73.9616
Fairbanks Solar,250,Solar,2025,39.0952,-87.4056
Liberty 1 Solar Plant,72,Solar,2024,29.9875,-94.9819
Cuestecitas Solar Park,200,Solar,2024,11.4354,-72.9002
