Title;Power;Type;Time;LocationLat;LocationLon
Pocahontas Prairie wind farm;163;Wind;2012;42,605;-94,5658
Midway wind farm;163;Wind;2019;27,953;-97,3336
Sol De Lila Photovoltaic Solar Project;163;Solar;2021;-33,4665;-70,6730
Yunnan Yuanjiang Yangchajie wind farm;164;Wind;2015;23,6051;101,7889
Bii Stinu wind farm;164;Wind;2013;16,4566;-94,9657
Blodrotberget wind farm;164;Wind;2021;63,8152;17,8839
Myrnenska wind farm;164;Wind;2019;49,4872;31,2718
Prairie wind farm;164;Wind;2017;41,4435;-92,7251
Olkaria 5 geothermal power plant;164;Geo;2019;-0,907;36,3232
Gullen Range wind farm;165;Wind;2014;-34,5442;149,4331
Belwind Offshore Wind Project;165;Wind;2010;51,6484;2,8349
Nobelwind Offshore Wind Project;165;Wind;2017;51,6484;2,8349
Hermenegildo wind farm;165;Wind;2015;-33,6877;-53,381
Egmond Aan Zee wind farm;165;Wind;2006;52,6124;4,4201
Cameron wind farm;165;Wind;2015;26,1882;-97,5248
Dinosaur Point wind farm;165;Wind;1988;37,0424;-121,167
Tuli solar farm;165;Solar;2021;23,8583;-101,7149
DeSoto 1 solar farm;165;Solar;2022;31,8865;-84,0216
Highlander Solar Energy Station 1;165;Solar;2020;38,2471;-77,7862
Tucano 2 wind farm;166;Wind;2022;-11,3515;-38,7904
Comber wind farm;166;Wind;2011;42,2283;-82,7014
Yunnan Anning Xiaomushan wind farm;166;Wind;2016;24,6183;102,2038
Aizu-Wakamatsu wind farm;166;Wind;2015;37,4601;139,9916
Yeongdeok wind farm;166;Wind;2005;36,4232;129,4192
Cimarron I wind farm;166;Wind;2012;37,8641;-100,235
Crescent Wind Park;166;Wind;2021;41,935;-84,477
Hackberry wind farm;166;Wind;2008;32,7664;-99,4711
Benban ACWA solar farm;166;Solar;2019;24,4160;32,7938
Kızıldere-3 geothermal power plant;166;Geo;2017;37,9498;28,843
Kent Hills wind farm;167;Wind;2023;45,8396;-64,8605
Harmony Free State Solar Plant;167;Solar;2023;-27,2998;27,1195
