Title,Power,Type,Time,LocationLat,LocationLon
Mulilo Sonnedix Prieska solar farm,86,Solar,2016,-30.0215,22.3553
Sheikh Zayed Solar Power Plant,15,Solar,2013,18.1528,-15.9842
Lesedi solar farm,75,Solar,2014,-28.3154,23.3501
De Aar - Project 1 (Solar Capital) solar farm,85,Solar,2014,-30.5955,24.1035
Serenje solar farm,100,Solar,2023,-13.1126,30.4022
Adrar Solar Plant,20,Solar,2015,27.9077,-0.3174
Benban Scatec solar farm,65,Solar,2019,24.418,32.705
Kelaa Sraghna Solar,48,Solar,2023,32.0422,-7.405
Noor Tafilalt Erfoud Solar,40,Solar,2020,31.513,-4.275
Kahone solar farm,25,Solar,2017,14.178,-16.027
Benban Infinity solar farm,64,Solar,2019,24.418,32.735
Linde solar farm,40,Solar,2014,-30.9986,24.6506
Zeerust Solar Field,75,Solar,2021,-25.5748,26.0718
Zafarana solar farm,50,Solar,2023,29.1153,32.6598
Benban Acciona/Enara solar farm,50,Solar,2019,24.433,32.705
Herbert solar farm,20,Solar,2014,-29.0019,23.8019
Benban Arinna solar farm,25,Solar,2019,24.448,32.694
ISCC Ain Beni Mathar solar farm,20,Solar,2010,34.0683,-2.1047
Green Power PV Plant solar farm,30,Solar,2023,35.4619,-6.0365
Noor Ouarzazate solar farm,72,Solar,2018,31.0218,-6.8306
KarmSolar-Dakahlia Group solar farm,17,Solar,2022,30.5836,30.3333
Kalkbult solar farm,75,Solar,2013,-30.1607,24.1349
Lagos solar farm (Nigeria),360,Solar,2023,6.4733,3.1996
Elgordhab solar farm,10,Solar,2019,33.0506,10.4636
Kenhardt solar farm,180,Solar,2023,-29.3595,21.1504
Hassi R'Mel ISCC power station,20,Solar,2011,33.1252,3.3561
Paleisheuwel Solar Power Plant,83,Solar,2016,-32.4148,18.7379
Benban Scatec solar farm,65,Solar,2019,24.418,32.711
Benban Access/Eren solar farm,63,Solar,2019,24.448,32.711
Bui solar farm,30,Solar,2023,9.2726,-2.4161
Benban Alcazar solar farm,64,Solar,2019,24.4477,32.7433
Kodeni solar farm,38,Solar,2022,10.701,-4.194
Droogfontein solar farm,50,Solar,2014,-28.6133,24.7468
Photovoltaic Rooftops solar farm,130,Solar,2023,30.012,31.7456
Adams Aurora solar farm,75,Solar,2017,-27.3656,23.0131
Sadada (Total Energies) solar farm,500,Solar,2023,26.8234,18.1237
Konkoonsies solar farm,86,Solar,2019,-28.8872,19.5529
