Title;Power;Type;Time;LocationLat;LocationLon
Western Green Energy Hub wind farm;25000;Wind;2100;-31,4836;128,1351
Powell Creek solar farm;20000;Solar;2100;-19,8516;133,2303
Asian Renewable Energy Hub wind farm;16352;Wind;2100;-20,7836;121,9724
Al Wusta Solar Plant;12500;Solar;2100;20,0001;56,0001
H2 Magallanes wind farm;10000;Wind;2100;-52,3138;-69,6881
Ladakh Solar Park;10000;Solar;2100;35,1147;78,1121
Ulsan City Offshore floating wind farm;9000;Wind;2100;35,5174;129,8116
Sinan Offshore wind complex;8200;Wind;2100;34,9449;125,3681
Port Kembla Offshore wind farm;8000;Wind;2100;-34,4811;150,8979
Morocco-UK Solar Power;7000;Solar;2100;28,5274;-10,0316
Hudson South Wind Energy Area;6890;Wind;2100;39,7319;-73,3644
Ventos Do Sul offshore wind farm;6507;Wind;2100;-30,3069;-50,0301
Alpha Offshore wind farm;6000;Wind;2100;-2,9066;-38,9909
Berço Das Gerais Solar Park;5700;Solar;2100;-14,8556;-43,9225
Aurora wind farm;5629;Wind;2100;56,6477;17,5332
Upper Plateaus wind farm;5010;Wind;2100;36,7227;3,2004
Ventos Do Atlântico Offshore wind farm;5009;Wind;2100;-22,1847;-40,9432
Total Eren-Guelmim-Oued Noun wind farm;5000;Wind;2100;28,9884;-10,0508
Baltic Offshore Delta wind farm;5000;Wind;2100;59,2854;20,0577
Bình Thuận (T&T Group) offshore wind farm;5000;Wind;2100;11,1785;108,9311
Bình Thuận offshore wind farm;5000;Wind;2100;10,7983;108,1756
North Kuwait Solar;5000;Solar;2100;29,2734;47,4979
Total Eren-Guelmim-Oued Noun Solar;5000;Solar;2100;28,9833;-10,0667
Riau Islands solar farm;4800;Solar;2100;3,6977;108,2038
Kutch (NTPC) Solar Park;4750;Solar;2100;23,8245;69,7298
Fortescue Green Hydrogen wind farm;4600;Wind;2100;30,0451;31,2418
Tuy Phong offshore wind farm;4600;Wind;2100;11,1441;108,9311
Fortescue Green Hydrogen solar farm;4600;Solar;2100;30,0451;31,2418
Globeleq Green Hydrogen wind farm;4500;Wind;2100;29,7135;32,3048
Phú Yên 2 offshore wind farm;4500;Wind;2100;13,4095;109,4301
Globeleq Green Hydrogen solar farm;4500;Solar;2100;29,7135;32,3048
ArcellorMittla solar park;4500;Solar;2100;26,6345;73,9344
TuNur solar farm;4500;Solar;2100;33,4574;9,0253
Changhua Huanyang Offshore wind farm;4400;Wind;2100;24,2051;120,2575
Dholera Solar Park;4300;Solar;2100;22,2496;72,1960
Bass Strait Offshore wind farm;4000;Wind;2100;-38,3885;142,2508
Bình Thuận (AES) offshore wind farm;4000;Wind;2100;11,1261;108,6466
Tafouk1 solar farm;4000;Solar;2100;28,0010;3,0010
Guangdong Shaoguan (Ming Yang) solar farm;4000;Solar;2100;25,0485;113,7547
Guangdong Shaoguan (Three Gorges) solar farm;4000;Solar;2100;25,0485;113,7547
Hai Phong City Offshore wind farm;3900;Wind;2100;20,3808;107,5611
Costa Nordeste Offshore wind farm;3800;Wind;2100;-2,9066;-38,9909
Murchinson Renewable Hydrogen Project wind farm;3700;Wind;2100;-27,6457;114,2369
Eystrasalt wind farm;3600;Wind;2100;61,8456;18,8644
Dogger Bank wind farm;3600;Wind;2100;55,9673;1,6679
The East Anglia Wind Array;3600;Wind;2100;52,6196;2,552
Morocco-UK wind farm;3500;Wind;2100;28,5274;-10,0316
La Gàn offshore wind farm;3500;Wind;2100;10,9227;108,4303
Riau Solar and Storage Power Plant;3500;Solar;2100;0,5386;102,2336
Walcha Energy Project wind farm;3400;Wind;2100;-30,8333;151,7833
Baltic Offshore Beta wind farm;3340;Wind;2100;55,6099;16,1957
Uaroo Renewable Energy Hub solar farm;3333;Solar;2100;-26,9691;119,0827
Turmalina Offshore wind farm;3180;Wind;2100;-32,6187;-52,06
ReNew Green Hydrogen solar farm;3104;Solar;2100;29,7135;32,3048
ReNew Green Hydrogen wind farm;3103;Wind;2100;29,7135;32,3048
Formosa 4 offshore wind farm;3088;Wind;2100;24,7861;120,3589
Leeuwin offshore wind farm;3000;Wind;2100;-33,1482;115,6986
Midwest Offshore wind farm;3000;Wind;2100;-27,7059;114,213
Newcastle Offshore wind farm;3000;Wind;2100;-34,05;150,8763
Samphire Offshore wind farm;3000;Wind;2100;-31,02;115,3562
Velella Offshore wind farm;3000;Wind;2100;-30,3615;115,3034
Águas Claras Offshore wind farm;3000;Wind;2100;-29,7797;-49,9085
Amazonita Offshore wind farm;3000;Wind;2100;-33,925;-52,932
Beta Offshore wind farm;3000;Wind;2100;-4,476;-36,4912
Maravilha Offshore wind farm;3000;Wind;2100;-21,7826;-40,6696
Projeto Acu Offshore wind farm;3000;Wind;2100;-21,8433;-40,9494
Projeto Ceará 1 Offshore wind farm;3000;Wind;2100;-2,9066;-38,9909
Projeto Ceará 2 Offshore wind farm;3000;Wind;2100;-2,9066;-38,9909
Projeto Galinhos Offshore wind farm;3000;Wind;2100;-5,0861;-36,2776
Projeto Pecém Offshore wind farm;3000;Wind;2100;-2,9066;-38,9909
Projeto Rio Grande do Sul 1 Offshore wind farm;3000;Wind;2100;-31,7346;-50,6296
Projeto Rio Grande do Sul 2 Offshore wind farm;3000;Wind;2100;-31,7346;-50,6296
