Project Name;Capacity (MW);Type;Start year;Latitude;Longitude
Kabertene wind farm;10;Wind;2014;28,4624;-0,0576
Garcia Del Rio wind farm;10;Wind;2019;-38,4061;-62,259
Blayney wind farm;10;Wind;2001;-33,6199;149,1889
Gänserndorf Nord wind farm;10;Wind;2006;48,3401;16,7172
Pama wind farm;10;Wind;2003;48,0589;17,0104
Potzneusiedl wind farm;10;Wind;2005;48,0409;16,9146
Patuakhali wind farm;10;Wind;2022;22,0161;90,176
Amel wind farm;10;Wind;2008;50,347;6,2227
Bilzen-Riemst wind farm;10;Wind;2017;50,8106;5,5195
Lummen wind farm;10;Wind;2014;50,9834;5,241
Rebaix wind farm;10;Wind;2020;50,6624;3,7532
Rieme-Noord wind farm;10;Wind;2016;51,0961;3,6845
Sankt-Vith wind farm;10;Wind;2011;50,2913;6,0861
Tinlot wind farm;10;Wind;2020;50,4684;5,37
Warisoulx wind farm;10;Wind;2009;50,536;4,8778
Millennium wind farm (Brazil);10;Wind;2007;-6,4939;-34,9719
Prainha wind farm;10;Wind;1999;-3,8708;-38,3803
Rosa Dos Ventos wind farm;10;Wind;2008;-4,5358;-37,6953
Balchik wind farm;10;Wind;2011;43,7419;28,1347
Long Man Wind Park;10;Wind;2008;43,4333;28,339
Arthur wind farm;10;Wind;2010;43,8494;-80,5155
Bisnett Line wind farm;10;Wind;2009;42,2827;-81,9915
Chebucto Pockwock wind farm;10;Wind;2014;44,7778;-63,8425
Ernestown wind farm;10;Wind;2010;44,2358;-76,7284
Front Line wind farm;10;Wind;2009;42,396;-81,874
Gesner wind farm;10;Wind;2013;42,5189;-81,7571
Gracey wind farm;10;Wind;2010;42,267;-82,4991
Grey Highlands Zero Emissions People wind farm;10;Wind;2016;44,3245;-80,2956
Marsh Line wind farm;10;Wind;2009;42,4774;-82,3602
Naylor wind farm;10;Wind;2010;42,1968;-82,8099
North Malden wind farm;10;Wind;2010;42,1546;-82,855
Port Ryerse wind farm;10;Wind;2016;42,7624;-80,2529
Richardson wind farm;10;Wind;2010;42,2419;-82,4575
Snowy Ridge wind farm;10;Wind;2016;44,1678;-78,6499
South Side wind farm;10;Wind;2010;42,0912;-83,0419
Sumac Ridge wind farm;10;Wind;2017;44,1463;-78,6271
Swanton Line wind farm;10;Wind;2009;42,2696;-82,2773
Watford wind farm;10;Wind;2012;42,9235;-81,9117
Weican R&D wind farm;10;Wind;2013;47,0417;-64,0118
El Arrebol wind farm;10;Wind;2015;-37,5404;-73,5923
La Esperanza wind farm (Chile);10;Wind;2016;-37,6077;-72,5411
Lebu-Toro wind farm;10;Wind;2014;-37,6793;-73,644
Ucuquer wind farm;10;Wind;2014;-34,043;-71,6181
Vientos Patagonicos wind farm;10;Wind;2020;-52,9361;-70,8288
Henan Huaxian Jindi Distributed wind farm;10;Wind;2022;35,52;114,7959
Henan Huaxian Zhaoying Distributed wind farm;10;Wind;2022;35,5453;114,8839
Henan Lankao Jiaotong Distributed wind farm;10;Wind;2018;34,8811;114,7908
Henan Lankao Lanyang Distributed wind farm;10;Wind;2018;34,8484;114,9242
Henan Shenqiu Fanyingxiang Distributed wind farm;10;Wind;2019;33,2318;115,134
Henan Shenqiu Zhaodeyingzhen wind farm;10;Wind;2020;33,2393;115,2091
Henan Tanghe Shangcheng Distributed wind farm;10;Wind;2022;32,6828;112,8542
Henan Tanghe Zangang Distributed wind farm;10;Wind;2019;32,5702;112,9062
Hubei Yicheng Honghuayan wind farm;10;Wind;2021;32,0117;112,1158
Liaoning Linghai Daxinglongshan wind farm;10;Wind;2013;41,2863;121,2172
Ningxia Zhongning Unsubsidized Breeze wind farm;10;Wind;2023;37,4741;105,6906
Shanxi Huairen Chanfang Distributed wind farm;10;Wind;2018;39,7406;112,827
Shanxi Xiaxian Yaotaishan wind farm;10;Wind;2017;35,1249;111,2525
Tianjin Hangu Salt Field wind farm;10;Wind;2023;39,2598;117,805
Kom-Orjak-Greda wind farm;10;Wind;2018;43,4702;16,8157
Orlice wind farm;10;Wind;2009;43,6382;16,0223
Horni Paseky wind farm;10;Wind;2012;49,8167;15,475
Gårestrup wind farm;10;Wind;2016;57,4921;9,9189
Krusbjerg wind farm;10;Wind;2013;56,218;8,9705
Odense Ny Havneterminal wind farm;10;Wind;2018;55,4718;10,5524
Store Røttinge wind farm;10;Wind;2015;55,148;11,9586
Butoni wind farm;10;Wind;2008;-18,1131;177,5077
Leppävirta wind farm;10;Wind;2017;62,3409;28,0702
Onkalo wind farm;10;Wind;2017;65,6132;25,0919
Ablaincourt Pressoir wind farm;10;Wind;2009;49,8433;2,8017
Ablainzevelle wind farm;10;Wind;2010;50,1541;2,7449
Adriers wind farm;10;Wind;2014;46,2635;0,7474
Aerodis Herbitzheim wind farm;10;Wind;2017;49,0372;7,092
Allondrelle-La-Malmaison wind farm;10;Wind;2014;49,5109;5,5499
Anoux wind farm;10;Wind;2008;49,27;5,89
Avessac wind farm;10;Wind;2017;47,6146;-2,0096
Ballendaux wind farm;10;Wind;2017;48,7148;-0,0611
Barly wind farm;10;Wind;2018;50,2598;2,5389
Beaurevoir wind farm;10;Wind;2009;49,9875;3,342
Beausoleil wind farm;10;Wind;2009;48,0005;-2,4598
Berviller En Moselle wind farm;10;Wind;2009;49,2651;6,6615
Bois D'Anchat wind farm;10;Wind;2014;47,8867;1,5009
Bosc-Bérenger wind farm;10;Wind;2018;49,6265;1,2454
Bouhy Et Dampierre-Sous-Bouhy wind farm;10;Wind;2017;47,4873;3,1499
Boulay Sud wind farm;10;Wind;2008;49,1714;6,5219
Bourbriac wind farm;10;Wind;2008;48,4731;-3,1868
Butte Saint Liphard wind farm;10;Wind;2007;48,22;1,89
Caban Sud wind farm;10;Wind;2006;43,4077;4,8692
Campigny wind farm;10;Wind;2011;49,3168;0,5647
Canal De Gargouilleau wind farm;10;Wind;2010;46,3552;-0,8788
Canton Du Quesnoy wind farm;10;Wind;2009;50,2659;3,5567
Catésis wind farm;10;Wind;2019;50,0714;3,6111
Champ Chardon wind farm;10;Wind;2018;49,5687;2,6518
Champagne Berrichone wind farm;10;Wind;2017;46,8107;1,9348
Champs Besnard wind farm;10;Wind;2007;48,1479;1,8965
Champs Parents wind farm;10;Wind;2010;48,8555;4,5577
Châteaulin wind farm;10;Wind;2006;48,1705;-4,1104
Cheppes La Prairie wind farm;10;Wind;2017;48,7956;4,4121
Clamanges wind farm;10;Wind;2008;48,8443;4,081
Clos Bataille wind farm;10;Wind;2008;49,8509;1,5081
Comes De L'Arce wind farm;10;Wind;2015;48,1485;4,4384
Couffé wind farm;10;Wind;2014;47,4122;-1,2836
Coume wind farm;10;Wind;2011;49,1914;6,5981
Coyecques wind farm;10;Wind;2019;50,5966;2,2052
Crennes-Sur-Fraubée wind farm;10;Wind;2009;48,3843;-0,2847
Familly wind farm;10;Wind;2010;48,9492;0,3431
Fillières wind farm;10;Wind;2012;49,4191;5,8315
Flamets-Frétils wind farm;10;Wind;2018;49,7394;1,5715
Fond De Fresne wind farm;10;Wind;2006;49,99;1,74
Fontenille wind farm;10;Wind;2017;45,9241;0,1907
Fos Sur Mer wind farm;10;Wind;2006;43,4557;4,9042
